INSTNM,CITY,STABBR,ZIP,COSTT4_A
Claremont Graduate University,Claremont,CA,91711-6160,NULL
Claremont McKenna College,Claremont,CA,91711-6400,69385
Milan Institute-Visalia,Visalia,CA,93277,NULL
Clovis Adult Education,Clovis,CA,93611,NULL
Coastline Community College,Fountain Valley,CA,92708-2597,15144
Cogswell College,San Jose,CA,95134,32122
Coleman University,San Diego,CA,92123-1506,34460
Coba Academy,Anaheim,CA,92801,NULL
Western University of Health Sciences,Pomona,CA,91766-1854,NULL
Columbia College,Sonora,CA,95370,11775
Columbia College Hollywood,Tarzana,CA,91356-1411,30863
Compton College,Compton,CA,90221-5393,14926
Contra Costa College,San Pablo,CA,94806-3195,12881
Cosumnes River College,Sacramento,CA,95823-5799,10738
Crafton Hills College,Yucaipa,CA,92339-1799,19525
Cuesta College,San Luis Obispo,CA,93403-8106,14167
Cuyamaca College,El Cajon,CA,92019,10286
Cypress College,Cypress,CA,90630-5897,10307
De Anza College,Cupertino,CA,95014,11249
International School of Beauty Inc,Palm Desert,CA,92260-2740,NULL
Dell'Arte International School of Physical Theatre,Blue Lake,CA,95525-0816,NULL
College of the Desert,Palm Desert,CA,92260,15024
Design Institute of San Diego,San Diego,CA,92121,31825
Diablo Valley College,Pleasant Hill,CA,94523,12292
Dominican University of California,San Rafael,CA,94901-2298,61248
Dominican School of Philosophy & Theology,Berkeley,CA,94708-1816,NULL
East Los Angeles College,Monterey Park,CA,91754-6099,15093
El Camino Community College District,Torrance,CA,90506,15936
Elegance International,Hollywood,CA,90028,NULL
Emperor's College of Traditional Oriental Medicine,Santa Monica,CA,90403,NULL
Empire College,Santa Rosa,CA,95403-2126,NULL
Evergreen Valley College,San Jose,CA,95135-1598,17876
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,Los Angeles,CA,90015-1421,48738
FIDM-Fashion Institute of Design & Merchandising-San Francisco,San Francisco,CA,94108-5805,46244
FIDM-Fashion Institute of Design & Merchandising-Orange County,Irvine,CA,92614-5610,42591
Feather River Community College District,Quincy,CA,95971-9124,16299
Federico Beauty Institute,Sacramento,CA,95834,NULL
Fielding Graduate University,Santa Barbara,CA,93105-3538,NULL
Five Branches University,Santa Cruz,CA,95062,NULL
Hair California Beauty Academy,Orange,CA,92867,NULL
Redondo Beach Beauty College,Redondo Beach,CA,90278-3111,NULL
Foothill College,Los Altos Hills,CA,94022,11726
Franciscan School of Theology,Oceanside,CA,92057,NULL
Fredrick and Charles Beauty College,Eureka,CA,95501,NULL
Fresno City College,Fresno,CA,93741,9506
Fresno Pacific University,Fresno,CA,93702-4709,38420
Fuller Theological Seminary,Pasadena,CA,91182,NULL
Fullerton College,Fullerton,CA,92832-2095,11056
Gavilan College,Gilroy,CA,95020,11176
Gemological Institute of America-Carlsbad,Carlsbad,CA,92008,NULL
Glendale Community College,Glendale,CA,91208-2894,9888
Glendale Career College,Glendale,CA,91203,NULL
Golden Gate University-San Francisco,San Francisco,CA,94105-2968,NULL
Golden West College,Huntington Beach,CA,92647-2710,10951
Graduate Theological Union,Berkeley,CA,94709,NULL
Grossmont College,El Cajon,CA,92020-1799,9956
Salon Success Academy-Riverside,Riverside,CA,92506,NULL
Hartnell College,Salinas,CA,93901,16171
Harvey Mudd College,Claremont,CA,91711,71917
Hilltop Beauty School,Daly City,CA,94014,NULL
Holy Names University,Oakland,CA,94619-1699,53298
Pacifica Graduate Institute,Carpinteria,CA,93013,NULL
Humboldt State University,Arcata,CA,95521-8299,23661
Humphreys University-Stockton and Modesto Campuses,Stockton,CA,95207-3896,25489
Imperial Valley College,Imperial,CA,92251-0158,10585
Institute for Business and Technology,Santa Clara,CA,95051-1303,NULL
Interior Designers Institute,Newport Beach,CA,92660,NULL
Toni & Guy Hairdressing Academy-Santa Monica,Santa Monica,CA,90401,NULL
Irvine Valley College,Irvine,CA,92618-0301,10988
Bellus Academy-El Cajon,El Cajon,CA,92021,NULL
John F. Kennedy University,Pleasant Hill,CA,94523-4817,NULL
American Jewish University,Los Angeles,CA,90077-1519,51820
Reedley College,Reedley,CA,93654,9546
Life Pacific College,San Dimas,CA,91773-3298,26502
Argosy University-The Art Institute of California-San Diego,San Diego,CA,92108-4423,30447
University of La Verne,La Verne,CA,91750-4401,52724
Laguna College of Art and Design,Laguna Beach,CA,92651,45105
Lake Tahoe Community College,South Lake Tahoe,CA,96150,12088
Lancaster Beauty School,Lancaster,CA,93534,NULL
Laney College,Oakland,CA,94607,12953
Lassen Community College,Susanville,CA,96130,15788
Life Chiropractic College West,Hayward,CA,94545-2800,NULL
Lincoln University,Oakland,CA,94612-2801,21195
Southern California Seminary,El Cajon,CA,92019-1108,32970
La Sierra University,Riverside,CA,92505-8247,43320
Loma Linda University,Loma Linda,CA,92350,NULL
Long Beach City College,Long Beach,CA,90808-1706,11049
Southern California University of Health Sciences,Whittier,CA,90604,22472
Los Angeles Harbor College,Wilmington,CA,90744-2397,15062
Los Angeles Pierce College,Woodland Hills,CA,91371-0002,14914
Los Angeles Southwest College,Los Angeles,CA,90047-4899,12416
Los Angeles Trade Technical College,Los Angeles,CA,90015-4181,12817
Los Angeles Valley College,Valley Glen,CA,91401-4096,15289
The Master's University and Seminary,Santa Clarita,CA,91321-1200,45043
Los Angeles City College,Los Angeles,CA,90029,12383
Los Angeles County College of Nursing and Allied Health,Los Angeles,CA,90033-1084,NULL
Los Angeles Mission College,Sylmar,CA,91342-3200,13876
Los Medanos College,Pittsburg,CA,94565,11427
Argosy University-The Art Institute of California-San Francisco,San Francisco,CA,94102-4908,26961
Loyola Marymount University,Los Angeles,CA,90045-2659,62119
Lu Ross Academy,Ventura,CA,93001-2729,NULL
Lyle's College of  Beauty,Fresno,CA,93710,NULL
Lytles Redwood Empire Beauty College Inc,Santa Rosa,CA,95403,NULL
MTI Business College Inc,Stockton,CA,95207-4349,NULL
MTI College,Sacramento,CA,95841-9817,NULL
Brightwood College-Sacramento,Sacramento,CA,95821,NULL
Brightwood College-San Diego,San Diego,CA,92123,NULL
Brightwood College-Vista,Vista,CA,92083-7736,NULL
College of Marin,Kentfield,CA,94904-2590,17803
Marymount California University,Rancho Palos Verdes,CA,90275-6299,50098
Mendocino College,Ukiah,CA,95482,15151
Menlo College,Atherton,CA,94027-4301,57159
Merced College,Merced,CA,95348-2898,15474
Merritt College,Oakland,CA,94619-3196,16095
Mills College,Oakland,CA,94613,61838
MiraCosta College,Oceanside,CA,92056-3899,8559
Mission College,Santa Clara,CA,95054-1897,15181
Modern Beauty Academy,Oxnard,CA,93030,NULL
Brightwood College-Los Angeles-Van Nuys,Van Nuys,CA,91406,NULL
Modesto Junior College,Modesto,CA,95350-5800,14942
Moler Barber College,Oakland,CA,94609-2419,NULL
Middlebury Institute of International Studies at Monterey,Monterey,CA,93940,NULL
Monterey Peninsula College,Monterey,CA,93940-4799,12373
Moorpark College,Moorpark,CA,93021-1695,8800
Mt San Antonio College,Walnut,CA,91789-1399,10109
Mount Saint Mary's University,Los Angeles,CA,90049-1599,52180
Mt San Jacinto Community College District,San Jacinto,CA,92583-2399,11742
Musicians Institute,Hollywood,CA,90028,40267
Napa Valley College,Napa,CA,94558-6236,17453
National Holistic Institute,Emeryville,CA,94608-2008,NULL
National University,La Jolla,CA,92037-1011,27409
Naval Postgraduate School,Monterey,CA,93943,NULL
Newschool of Architecture and Design,San Diego,CA,92101,41660
Newberry School of Beauty,Granada Hills,CA,91344-7401,NULL
North Adrian's College of Beauty Inc,Modesto,CA,95350-2381,NULL
North-West College-Pomona,Pomona,CA,91768,NULL
North-West College-West Covina,West Covina,CA,91790,NULL
North-West College-Van Nuys,Van Nuys,CA,91411,NULL
Notre Dame de Namur University,Belmont,CA,94002-1908,51716
Occidental College,Los Angeles,CA,90041-3392,69442
Ohlone College,Fremont,CA,94539-0390,16933
Orange Coast College,Costa Mesa,CA,92626,10764
Otis College of Art and Design,Los Angeles,CA,90045-3505,60426
Oxnard College,Oxnard,CA,93033-6699,9000
Hope International University,Fullerton,CA,92831-3199,42742
Concorde Career College-San Diego,San Diego,CA,92113-1964,NULL
Palo Alto University,Palo Alto,CA,94304-1337,NULL
Pacific Oaks College,Pasadena,CA,91103,NULL
Pacific School of Religion,Berkeley,CA,94709,NULL
Pacific States University,Los Angeles,CA,90010-2263,NULL
Pacific Union College,Angwin,CA,94508-9707,41331
University of the Pacific,Stockton,CA,95211-0197,58718
Palo Verde College,Blythe,CA,92225,12925
Palomar College,San Marcos,CA,92069-1487,9909
Pasadena City College,Pasadena,CA,91106-2003,12368
Pepperdine University,Malibu,CA,90263,68352
Pitzer College,Claremont,CA,91711-6101,68192
Platt College-San Diego,San Diego,CA,92115-3919,42402
Point Loma Nazarene University,San Diego,CA,92106-2899,48040
Pomona College,Claremont,CA,91711-6319,67357
Porterville College,Porterville,CA,93257,8127
Professional Institute of Beauty,El Monte,CA,91731,NULL
Santa Ana College,Santa Ana,CA,92706-3398,10383
Pardee RAND Graduate School,Santa Monica,CA,90401-3208,NULL
Shasta School of Cosmetology,Redding,CA,96003,NULL
University of Redlands,Redlands,CA,92373-0999,63170
College of the Redwoods,Eureka,CA,95501-9300,12209
Salon Success Academy-Upland,Upland,CA,91786,NULL
Salon Success Academy-Corona,Corona,CA,92881,NULL
Rio Hondo College,Whittier,CA,90601-1616,11702
Riverside City College,Riverside,CA,92506,12523
Argosy University-San Francisco Bay Area,Alameda,CA,94501,29296
Rosemead Beauty School,Rosemead,CA,91770-1639,NULL
Dongguk University-Los Angeles,Los Angeles,CA,90020-1704,NULL
Sacramento City College,Sacramento,CA,95822-1386,12587
Saddleback College,Mission Viejo,CA,92692-3635,14031
Samuel Merritt University,Oakland,CA,94609,NULL
San Diego City College,San Diego,CA,92101-4787,11899
Golf Academy of America-San Diego,Carlsbad,CA,92008,NULL
San Diego Mesa College,San Diego,CA,92111-4998,12286
San Diego Miramar College,San Diego,CA,92126-2999,12306
San Diego State University,San Diego,CA,92182-0001,21051
University of San Diego,San Diego,CA,92110-2492,62710
San Francisco Art Institute,San Francisco,CA,94133-2299,66723
San Francisco Conservatory of Music,San Francisco,CA,94102-6011,63060
San Francisco State University,San Francisco,CA,94132,22313
San Francisco Theological Seminary,San Anselmo,CA,94960-0000,NULL
University of San Francisco,San Francisco,CA,94117-1080,63117
San Joaquin College of Law,Clovis,CA,93612-1312,NULL
San Joaquin Delta College,Stockton,CA,95207,17175
San Joaquin Valley College-Visalia,Visalia,CA,93291-9283,NULL
William Jessup University,Rocklin,CA,95765-3707,42074
San Jose City College,San Jose,CA,95128-2798,17137
San Jose State University,San Jose,CA,95192-0001,23030
College of San Mateo,San Mateo,CA,94402-3784,8563
Santa Barbara Business College-Bakersfield,Bakersfield,CA,93309,23517
Santa Barbara Business College-Santa Maria,Santa Maria,CA,93454,22201
Santa Barbara City College,Santa Barbara,CA,93109-2394,16141
Santa Clara University,Santa Clara,CA,95053,65334
Santa Monica College,Santa Monica,CA,90405-1628,11564
Santa Rosa Junior College,Santa Rosa,CA,95401-4395,12728
Saybrook University,Oakland,CA,94612-1943,NULL
Scripps College,Claremont,CA,91711-3905,68464
College of the Sequoias,Visalia,CA,93277-2214,8369
Shasta Bible College and Graduate School,Redding,CA,96002,23025
Shasta College,Redding,CA,96003,10928
Sierra College,Rocklin,CA,95677-3397,11535
Sierra College of Beauty,Merced,CA,95340,NULL
Trinity Law School,Santa Ana,CA,92705,NULL
Simpson University,Redding,CA,96003-8606,37582
College of the Siskiyous,Weed,CA,96094-2899,12433
Charles A Jones Career and Education Center,Sacramento,CA,95824-1529,NULL
Skyline College,San Bruno,CA,94066-1698,8929
San Bernardino Valley College,San Bernardino,CA,92410-2798,14091
Saint Mary's College of California,Moraga,CA,94575,62974
Solano Community College,Fairfield,CA,94534-3197,12408
Sonoma State University,Rohnert Park,CA,94928-3609,24410
South Baylo University,Anaheim,CA,92801-1701,NULL
South Coast College,Orange,CA,92868-2609,NULL
Vanguard University of Southern California,Costa Mesa,CA,92626,44007
Concorde Career College-Garden Grove,Garden Grove,CA,92840-9201,NULL
Southwestern College,Chula Vista,CA,91910-7299,11345
St John's Seminary,Camarillo,CA,93012-2500,NULL
Starr King School for the Ministry,Berkeley,CA,94709-1209,NULL
Marshall B Ketchum University,Fullerton,CA,92831-1699,NULL
Southern California Institute of Architecture,Los Angeles,CA,90013-1822,63398
University of Southern California,Los Angeles,CA,90089,69547
Southwestern Law School,Los Angeles,CA,90010-1106,NULL
Taft College,Taft,CA,93268,12097
Claremont School of Theology,Claremont,CA,91711-3199,NULL
Thomas Aquinas College,Santa Paula,CA,93060,35714
Epic Bible College,Sacramento,CA,95841,13535
United Education Institute-Huntington Park Campus,Huntington Park,CA,90255,NULL
Concorde Career College-San Bernardino,San Bernardino,CA,92408-3403,NULL
Concorde Career College-North Hollywood,North Hollywood,CA,91606-3134,NULL
Ventura College,Ventura,CA,93003-3872,8715
The Santa Barbara and Ventura Colleges of Law at Ventura,Ventura,CA,93003,NULL
Victor Valley College,Victorville,CA,92395-5850,15451
Berkeley City College,Berkeley,CA,94704,15390
Walden University,Minneapolis,MN,55401,NULL
Waynes College of Beauty,Salinas,CA,93906-2830,NULL
West Hills College-Coalinga,Coalinga,CA,93210,14477
West Los Angeles College,Culver City,CA,90230-3519,13255
West Valley College,Saratoga,CA,95070-5698,14508
Carrington College-Sacramento,Sacramento,CA,95826,NULL
Westminster Theological Seminary in California,Escondido,CA,92027,NULL
Westmont College,Santa Barbara,CA,93108-1089,59410
Whittier College,Whittier,CA,90601,55202
Woodbury University,Burbank,CA,91504-1052,50107
The Wright Institute,Berkeley,CA,94704-1796,NULL
Western State College of Law at Argosy University,Irvine,CA,92618-3601,NULL
Thomas Jefferson School of Law,San Diego,CA,92101,NULL
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,Los Angeles,CA,90046-7660,25800
Yuba College,Marysville,CA,95901,10548
The Salon Professional Academy-Grand Junction,Grand Junction,CO,81501,NULL
Adams State University,Alamosa,CO,81101,21480
Aims Community College,Greeley,CO,80634,12730
Arapahoe Community College,Littleton,CO,80160-9002,12622
Bel-Rea Institute of Animal Technology,Denver,CO,80247,24515
Altierus Career College-Colorado Springs,Colorado Springs,CO,80916-2300,23797
University of Colorado Denver/Anschutz Medical Campus,Denver,CO,80217-3364,21105
University of Colorado Colorado Springs,Colorado Springs,CO,80918,21148
Spartan College of Aeronautics and Technology,Broomfield,CO,80021-3465,26026
University of Colorado Boulder,Boulder,CO,80309-0017,29215
Colorado Christian University,Lakewood,CO,80226,42276
Colorado College,Colorado Springs,CO,80903,66400
Concorde Career College-Aurora,Aurora,CO,80010-4314,NULL
The Art Institute of Colorado,Denver,CO,80203-2983,29252
Colorado Mountain College,Glenwood Springs,CO,81601-0233,12579
Colorado Northwestern Community College,Rangely,CO,81648-3598,16974
Colorado School of Mines,Golden,CO,80401,32347
Colorado School of Trades,Lakewood,CO,80215-2996,NULL
Colorado State University-Fort Collins,Fort Collins,CO,80523-0100,24290
Colorado Technical University-Colorado Springs,Colorado Springs,CO,80907-3812,23812
Community College of Aurora,Aurora,CO,80011-9036,14747
CollegeAmerica-Denver,Denver,CO,80222,31506
Technical College of the Rockies,Delta,CO,81416,NULL
Community College of Denver,Denver,CO,80204-2026,15571
Lincoln College of Technology-Denver,Denver,CO,80239,NULL
Denver Seminary,Littleton,CO,80120,NULL
University of Denver,Denver,CO,80208,61824
Emily Griffith Technical College,Denver,CO,80203,NULL
Fort Lewis College,Durango,CO,81301-3999,25064
Front Range Community College,Westminster,CO,80031,13934
Glenwood Beauty Academy,Glenwood Springs,CO,81601,NULL
Iliff School of Theology,Denver,CO,80210-4798,NULL
International Salon and Spa Academy,Colorado Springs,CO,80918-3684,NULL
Lamar Community College,Lamar,CO,81052-3999,15610
Colorado Mesa University,Grand Junction,CO,81501-3122,20577
Metropolitan State University of Denver,Denver,CO,80217-3362,18550
Morgan Community College,Fort  Morgan,CO,80701,15362
Naropa University,Boulder,CO,80302-6697,48040
National American University-Colorado Springs,Colorado Springs,CO,80920,NULL
Nazarene Bible College,Colorado Springs,CO,80910,21145
Northeastern Junior College,Sterling,CO,80751-2944,17126
University of Northern Colorado,Greeley,CO,80639,22604
Otero Junior College,La Junta,CO,81050,17277
Altierus Career College-Thornton,Thornton,CO,80229-4339,25778
Pikes Peak Community College,Colorado Springs,CO,80906-5498,15391
Pueblo Community College,Pueblo,CO,81004-1499,20783
Red Rocks Community College,Lakewood,CO,80228-1255,12903
Regis University,Denver,CO,80221-1099,46816
Rocky Mountain College of Art and Design,Lakewood,CO,80214,26983
Montessori Education Center of the Rockies,Boulder,CO,80301,NULL
Colorado State University-Pueblo,Pueblo,CO,81001-4901,22053
Pickens Technical College,Aurora,CO,80011-9307,9267
Intellitec College-Colorado Springs,Colorado Springs,CO,80909-6096,NULL
Intellitec College-Grand Junction,Grand Junction,CO,81506,NULL
Trinidad State Junior College,Trinidad,CO,81082,19303
United States Air Force Academy,USAF Academy,CO,80840-5002,NULL
Empire Beauty School-Thornton,Thornton,CO,80233,NULL
Western State Colorado University,Gunnison,CO,81231,22450
Albertus Magnus College,New Haven,CT,06511-1189,45875
Paul Mitchell the School-Danbury,Danbury,CT,6810,NULL
Asnuntuck Community College,Enfield,CT,6082,13288
Bais Binyomin Academy,Monsey,NY,10952,NULL
Branford Hall Career Institute-Branford Campus,Branford,CT,6405,NULL
Lincoln College of New England-Southington,Southington,CT,06489-1057,33627
University of Bridgeport,Bridgeport,CT,06604-5620,49646
Central Connecticut State University,New Britain,CT,6050,22576
Charter Oak State College,New Britain,CT,6053,NULL
Cortiva Institute-Newington,Newington,CT,06111-3975,NULL
Connecticut College,New London,CT,06320-4196,67000
Porter and Chester Institute of Branford,Branford,CT,6405,28585
University of Connecticut,Storrs,CT,6269,29803
Goodwin College,East Hartford,CT,6118,31754
Lincoln Technical Institute-East Windsor,East Windsor,CT,6088,NULL
Eastern Connecticut State University,Willimantic,CT,6226,24642
Fairfield University,Fairfield,CT,06824-5195,61934
Paul Mitchell the School-North Haven,North Haven,CT,6473,NULL
Capital Community College,Hartford,CT,6103,15581
Rensselaer at Hartford,Hartford,CT,6120,NULL
American Institute-West Hartford,West Hartford,CT,06110-1922,NULL
Hartford Seminary,Hartford,CT,06105-2260,NULL
University of Hartford,West Hartford,CT,06117-1599,52365
Holy Apostles College and Seminary,Cromwell,CT,06416-2005,17650
Housatonic Community College,Bridgeport,CT,06604-4704,10527
Manchester Community College,Manchester,CT,6040,9332
Naugatuck Valley Community College,Waterbury,CT,06708-3089,10885
Middlesex Community College,Middletown,CT,06457-4829,9555
Mitchell College,New London,CT,6320,45528
Three Rivers Community College,Norwich,CT,6360,12233
Lincoln Technical Institute-New Britain,New Britain,CT,6051,NULL
New England Tractor Trailer Training School of Connecticut,Somers,CT,6071,NULL
University of New Haven,West Haven,CT,06516-1916,53489
Norwalk Community College,Norwalk,CT,6854,12436
Northwestern Connecticut Community College,Winsted,CT,6098,10152
Paier College of Art Inc,Hamden,CT,06514-3902,20533
Porter and Chester Institute of Stratford,Stratford,CT,06615-7158,27718
Post University,Waterbury,CT,6723,29450
Quinebaug Valley Community College,Danielson,CT,06239-1436,12000
Quinnipiac University,Hamden,CT,6518,61126
Sacred Heart University,Fairfield,CT,06825-1000,55572
University of Saint Joseph,West Hartford,CT,6117,46885
Gateway Community College,New Haven,CT,6510,12009
St Vincent's College,Bridgeport,CT,06606-4201,26456
Southern Connecticut State University,New Haven,CT,06515-1355,22794
Stone Academy-West Haven,West Haven,CT,6516,NULL
Tri-State College of Acupuncture,New York,NY,10011,NULL
Trinity College,Hartford,CT,06106-3100,68940
Tunxis Community College,Farmington,CT,06032-3187,11548
Wesleyan University,Middletown,CT,6459,67527
Western Connecticut State University,Danbury,CT,06810-6826,22636
Yale-New Haven Hospital Dietetic Internship,New Haven,CT,6510,NULL
Yale University,New Haven,CT,6520,68950
Margaret H Rollins School of Nursing at Beebe Medical Center,Lewes,DE,19958,NULL
Dawn Career Institute LLC,Newark,DE,19702,NULL
Delaware Technical Community College-Terry,Dover,DE,19901,12570
Delaware State University,Dover,DE,19901,21318
University of Delaware,Newark,DE,19716,25210
Goldey-Beacom College,Wilmington,DE,19808,36612
Schilling-Douglas School of Hair Design LLC,Newark,DE,19711,NULL
Wesley College,Dover,DE,19901-3875,40484
Wilmington University,New Castle,DE,19720,17529
American University,Washington,DC,20016-8001,62162
Catholic University of America,Washington,DC,20064,59591
University of the District of Columbia,Washington,DC,20008,23938
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,Washington,DC,20017-1585,NULL
Gallaudet University,Washington,DC,20002-3695,36218
George Washington University,Washington,DC,20052,66996
Georgetown University,Washington,DC,20057-0001,69313
Howard University,Washington,DC,20059-0001,41488
Strayer University-District of Columbia,Washington,DC,20005,27744
National Conservatory of Dramatic Arts,Washington,DC,20007,15348
Trinity Washington University,Washington,DC,20017-1094,32052
Wesley Theological Seminary,Washington,DC,20016-5690,NULL
Wyotech-Daytona,Ormond Beach,FL,32174-1502,NULL
The Art Institute of Fort Lauderdale,Fort Lauderdale,FL,33316-3000,27980
Atlantic Technical College,Coconut Creek,FL,33063-3902,NULL
The Baptist College of Florida,Graceville,FL,32440,18079
Barry University,Miami,FL,33161-6695,43787
Bethune-Cookman University,Daytona Beach,FL,32114-3099,28845
Lynn University,Boca Raton,FL,33431-5598,53268
North Florida Technical College,Starke,FL,32091,NULL
Eastern Florida State College,Cocoa,FL,32922,10069
Broward College,Fort Lauderdale,FL,33301,13717
Carlos Albizu University-Miami,Miami,FL,33172-2209,42735
College of Central Florida,Ocala,FL,34474,11881
Johnson University Florida,Kissimmee,FL,34744,22660
University of Central Florida,Orlando,FL,32816,20950
Charlotte Technical College,Port Charlotte,FL,33948-3399,15247
Chipola College,Marianna,FL,32446-2053,9027
Lorenzo Walker Technical College,Naples,FL,34104-4405,NULL
Daytona State College,Daytona Beach,FL,32114,10522
South University-West Palm Beach,Royal Palm Beach,FL,33411,28328
Eckerd College,Saint Petersburg,FL,33711-4700,57085
Florida SouthWestern State College,Fort Myers,FL,33919,13223
Edward Waters College,Jacksonville,FL,32209,24965
Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,32114-3900,50570
Florida Agricultural and Mechanical University,Tallahassee,FL,32307,22235
Florida Atlantic University,Boca Raton,FL,33431-0991,18593
Florida State College at Jacksonville,Jacksonville,FL,32202,8738
Flagler College-St Augustine,Saint Augustine,FL,32084,31600
Florida College,Temple Terrace,FL,33617,29164
Concorde Career Institute-Jacksonville,Jacksonville,FL,32256-6905,NULL
Concorde Career Institute-Miramar,Miramar,FL,33025,NULL
Concorde Career Institute-Tampa,Tampa,FL,33607-4127,NULL
AdventHealth University,Orlando,FL,32803,25873
Florida Institute of Technology,Melbourne,FL,32901-6975,57119
Florida Institute of Ultrasound Inc,Pensacola,FL,32514,NULL
Florida International University,Miami,FL,33199,19055
Florida Keys Community College,Key West,FL,33040,14819
Florida Memorial University,Miami Gardens,FL,33054-6199,26586
Florida Career College-Miami,Miami,FL,33174,NULL
Florida School of Massage,Gainesville,FL,32608-5419,NULL
Florida Southern College,Lakeland,FL,33801-5698,46054
Florida State University,Tallahassee,FL,32306-1037,22426
Florida Technical College,Orlando,FL,32826,NULL
University of Florida,Gainesville,FL,32611,21164
Fort Pierce Beauty Academy,Fort Pierce,FL,34982-6333,NULL
Full Sail University,Winter Park,FL,32792-7429,33638
George Stone Technical College,Pensacola,FL,32526-8922,NULL
George T Baker Aviation Technical College,Miami,FL,33142,NULL
Gulf Coast State College,Panama City,FL,32401,8539
Key College,Fort Lauderdale,FL,33304-3046,19856
Hillsborough Community College,Tampa,FL,33606-3584,9568
Hobe Sound Bible College,Hobe Sound,FL,33455-1065,14745
Hollywood Institute of Beauty Careers,Hollywood,FL,33023,NULL
Cortiva Institute-Florida,St. Petersburg,FL,33713,NULL
Indian River State College,Fort Pierce,FL,34981-5596,6276
Sanford-Brown College-Tampa,Tampa,FL,33307,NULL
International Academy,South Daytona,FL,32119,NULL
AI Miami International University of Art and Design,Miami,FL,33132-1418,27065
Jacksonville University,Jacksonville,FL,32211-3394,50466
Keiser University-Ft Lauderdale,Fort Lauderdale,FL,33309,33544
La Belle Beauty School,Hialeah,FL,33012,NULL
Florida Gateway College,Lake City,FL,32025-2007,9312
Lake Technical College,Eustis,FL,32726,NULL
Lake-Sumter State College,Leesburg,FL,34788-8751,9808
Fort Myers Technical College,Fort Myers,FL,33916-2204,NULL
Lively Technical Center,Tallahassee,FL,32304-2895,NULL
Lindsey Hopkins Technical College,Miami,FL,33127,NULL
Loraines Academy & Spa,Saint Petersburg,FL,33710,NULL
Luther Rice College & Seminary,Lithonia,GA,30038-9869,21736
State College of Florida-Manatee-Sarasota,Bradenton,FL,34207,17646
Manatee Technical College,Bradenton,FL,34203,NULL
Traviss Technical College,Lakeland,FL,33803,10753
Merryfield School of Pet Grooming,Oakland Park,FL,33334-4925,NULL
Trinity International University-Florida,Miami,FL,33186,NULL
Miami Lakes Educational Center and Technical College,Miami Lakes,FL,33014,NULL
Miami Dade College,Miami,FL,33132-2204,12476
University of Miami,Coral Gables,FL,33146,62810
Orange Technical College-Mid Florida Campus,Orlando,FL,32809,NULL
Beauty Schools of America-Miami,Miami,FL,33144,NULL
Paul Mitchell the School-Jacksonville,Jacksonville,FL,32246,NULL
North Florida Community College,Madison,FL,32340,9526
University of North Florida,Jacksonville,FL,32224-7699,20854
Nova Southeastern University,Fort Lauderdale,FL,33314-7796,45722
Northwest Florida State College,Niceville,FL,32578-1295,12816
Orange Technical College-Orlando Campus,Orlando,FL,32801-1197,NULL
Palm Beach Atlantic University,West Palm Beach,FL,33401,43005
Palm Beach State College,Lake Worth,FL,33461-4796,9659
Pasco-Hernando State College,New Port Richey,FL,34654-5199,10764
Pensacola State College,Pensacola,FL,32504-8998,10136
Pinellas Technical College-Clearwater,Clearwater,FL,33760-2140,NULL
Polk State College,Winter Haven,FL,33881-4299,12858
Radford M Locklin Technical Center,Milton,FL,32570-8188,NULL
Saint Vincent de Paul Regional Seminary,Boynton Beach,FL,33436-4899,NULL
Ridge Technical College,Winter Haven,FL,33881-9518,27319
Ringling College of Art and Design,Sarasota,FL,34234-5895,62876
Toni & Guy Hairdressing Academy-Jacksonville,Jacksonville,FL,32256,NULL
Robert Morgan Educational Center and Technical College,Miami,FL,33177-2407,NULL
Rollins College,Winter Park,FL,32789-4499,64422
First Coast Technical College,Saint Augustine,FL,32084-1919,NULL
Saint Leo University,Saint Leo,FL,33574-6665,36298
St Petersburg College,Clearwater,FL,33760-2822,12040
Pinellas Technical College-St. Petersburg,Saint Petersburg,FL,33711-2209,NULL
Santa Fe College,Gainesville,FL,32606-6210,12829
Suncoast Technical College,Sarasota,FL,34233-1798,NULL
Argosy University-Sarasota,Sarasota,FL,34235,26462
Seminole State College of Florida,Sanford,FL,32773-6199,12956
Sheridan Technical College,Hollywood,FL,33021,NULL
Saint John Vianney College Seminary,Miami,FL,33165-3244,36900
Saint Johns River State College,Palatka,FL,32177,11214
South Florida State College,Avon Park,FL,33825-9356,10052
University of South Florida-Main Campus,Tampa,FL,33620-9951,19868
St. Thomas University,Miami Gardens,FL,33054-6459,41968
Stetson University,DeLand,FL,32723,57961
Southeastern University,Lakeland,FL,33801-6034,35123
Bene's Career Academy,New Port Richey,FL,34652,NULL
Riveroak Technical College,Live Oak,FL,32064,NULL
Tallahassee Community College,Tallahassee,FL,32304-2895,8736
Talmudic College of Florida,Miami Beach,FL,33140-3854,26650
Altierus Career College-Tampa,Tampa,FL,33614-5801,26136
The University of Tampa,Tampa,FL,33606-1490,42210
Big Bend Technical College,Perry,FL,32348,NULL
Tom P Haney Technical Center,Panama City,FL,32405,NULL
